Unnamed: 0,disease,symptoms
165,Chondrosarcoma,"increasing pain, growing lump, swelling, weakness, bowel control problems, bladder control problems"
166,Chronic Cholestasis,"abdominal pain, tenderness in the lower abdomen, abnormal vaginal bleeding, acting defiant, impulsive behavior, acting nervous, bad breath, being afraid of losing control in a public place, being afraid of places where escape might be hard, being afraid of spending time alone, blood in the stool, blood in the urine, bone pain or tenderness, chills, clumsiness, coma (lack of responsiveness), confusion, conjunctivitis, constipation, convulsions (seizures), cracked lips, crossed eyes, crying, darkening of the skin, dehydration, delayed teeth, difficulty at school, difficulty swallowing liquids, solids, difficulty understanding what people are saying, dribbling at the end of urinating, dry mouth, dry cough, eye pain, fainting/drowsiness, fatigue(feeling tired), feeling detached or separated from others, feeling helpless, feeling that the body is not real, feeling that the environment is not real, fever-- usually low-grade, frequent, strong urge to urinate, hand tremor, handwriting that gets worse, having an unusual temper or agitation, headache, hearing loss, hyperactivity, inability to urinate except in certain positions, incomplete emptying of your bladder, light sensitivity, lightheadedness, limited range of motion, long-term pelvic or low back pain, loss of appetite, loss of vision, low blood pressure, low blood sugar, malaise(general discomfortness, menstrual bleeding that is not regular or predictable, mouth, throat ulcers, muscle twitching, nail problems, nasal congestion, nausea, vomiting, needing to urinate 2 or more times per night, no color in the hair, no longer being able to pass gas, numbness, tingling of hands or feet, pain in the abdomen, pain or burning with urination, pain with bowel movements, pain with sexual intercourse, painful menstrual periods, painful periods, cramps, patches of missing skin color, pelvic pain during intercourse, poor temper control, prolonged muscle spasms(tetany), rapid eye movements, red eyes, salt craving, shock, shortness of breath, slowed or delayed start of the urinary stream, sore throat, sparse, swelling of abdomen, tearing (watery eyes), teeth present at birth (natal teeth), tooth abnormalities, trembling or twitching, trouble getting or staying pregnant (infertility), unintentional weight loss, urinary incontinence, vision problems, visual impairment or blindness, vomiting, weak urine stream, absent, diarrhea, feeling sad or hopeless, fever, heavy menstrual bleeding, ill feeling or uneasiness, itching, weakness, yellowing of eyes, yellowish skin"
167,Chronic Cough,"runny or stuffy nose, feeling of liquid running down the back of your throat, postnasal drip, frequent throat clearing, sore throat, hoarseness, wheezing, shortness of breath, heartburn, sour taste in your mouth, coughing up blood"
168,Chronic Daily Headaches,"pain, tearing or redness of the eye, nasal congestion or runny nose, drooping eyelid or pupil narrowing, sensation of restlessness, throbbing sensation, nausea, vomiting, sensitivity to light, sound"
169,Chronic Fatigue Syndrome,"tender lymph nodes, sensitive to light, extreme exhaustion, problems with memory, problems with thinking skills, dizziness, muscle pain, joint pain, unrefreshing sleep, headaches, sore throats"
170,Chronic Granulomatous Disease,"fever, chest pain, swollen lymph glands, sore lymph glands, runny nose, skin irritation, rash, bloody stool, painful pocket of pus near the anus, diarrhea, pneumonia, stomach pain, swelling, redness, vomiting"
171,Chronic Kidney Disease,"chest pain, itchy skin, shortness of breath, nausea, vomiting, loss of appetite, fatigue, weakness, sleep problems, urinating more or less, decreased mental sharpness, muscle cramps, swelling of feet, swelling of ankles, dry skin"
172,Chronic Lymphocytic Leukemia,"enlarged lymph nodes, fatigue, fever, pain, night sweats, weight loss, frequent infections"
173,Chronic Myelogenous Leukemia,"bone pain, easy bleeding, feeling full after eating a small amount of food, feeling run-down or tired, fever, weight loss without trying, loss of appetite, pain or fullness below the ribs on the left side, excessive sweating during sleep (night sweats)"
174,Chronic Sinusitis,"nasal inflammation, thick discolored discharge from the nose (runny nose), drainage down the back of the throat (postnasal drainage), blocked or stuffy (congested) nose causing difficulty breathing through your nose, pain, reduced sense of smell, taste, ear pain, headache, aching in your upper jaw, teeth, cough, sore throat, bad breath, fatigue, tenderness, swelling around your eyes"
175,Chronic Traumatic Encephalopathy,"anxiety, memory, thinking problems, dementia, impulsivity, aggression, mood changes, motor changes, cognitive impairment, memory loss, problems with planning, organization, carrying out tasks, impulsive behavior, depression, apathy, emotional instability, substance misuse, suicidal thoughts or behavior, parkinsonism, motor neuron disease"
176,Churg Strauss Syndrome,"tingling in hands, feet, chronic sinusitis, loss of appetite, weight loss, joint pain, muscle pain, abdominal pain, gastrointestinal bleeding, weakness, fatigue, rash, skin sores, pain, numbness, asthma"
177,Cirrhosis,"absence of or loss of periods not related to menopause, spiderlike blood vessels on the skin, redness in the palms of the hands, pale fingernails, weight loss, itchy skin, yellow discoloration in the skin, eyes, fluid accumulation in the abdomen, drowsiness or slurred speech, clubbing of the fingers, loss of sex drive, testicular shrinkage or breast enlargement, fatigue, easily bleeding or bruising, loss of appetite, nausea, swelling in the legs"
178,Clubfoot,none
179,Cmv,"fatigue, fever, sore throat, muscle aches, hearing loss, developmental delay, vision problems, premature birth, low birth weight, yellow skin, eyes (jaundice), enlarged, poorly functioning liver, purple skin splotches or a rash or both, abnormally small head (microencephaly), enlarged spleen, pneumonia, seizures"
180,Coarctation Of The Aorta,"difficulty breathing, difficulty feeding, heavy sweating, irritability, pale skin, chest pain, headaches, high blood pressure, leg cramps or cold feet, muscle weakness, nosebleeds"
181,Cold Sore,"tingling, itching, burning, blisters, oozing, crusting, fever, painful gums, sore throat, headache, muscle aches, swollen lymph nodes, pain"
182,Cold Urticaria,"itchy welts, hives, worsening of the reaction as the skin warms, swelling of hands, swelling of lips, anaphylaxis, racing heart, shock, swelling of the tongue, swelling of the throat, loss of consciousness, drowning, swelling of limbs, swelling of torso, fainting, difficult to breathe"
183,Colon Cancer,"change in bowel habits, gas, pain, feeling that bowel doesn't empty completely, weakness, fatigue, unexplained weight loss, diarrhea, constipation, change in stool consistency, rectal bleeding, blood in stool, abdominal discomfort, cramps"
184,Colon Polyps,"crampy abdominal pain, rectal bleeding, iron deficiency anemia, change in stool color, change in bowel habits, constipation, diarrhea, pain, tired, short of breath"
185,Coma,"closed eyes, depressed brainstem reflexes, no responses of limbs, no response to painful stimuli, irregular breathing"
186,Common Cold,"abdominal cramps, abnormal sensations, bloating or abdominal gas, bluish color to the lips, face (cyanosis), blurred vision, body aches, bone pain or tenderness, bone sores (lesions), breast lumps that change in size with the menstrual period, breasts that feel full, chills, clumsy speech pattern (dysarthria), constipation, cough, crossed eyes, dehydration, difficulty breathing, difficulty swallowing liquids, solids, difficulty understanding speech, dilated pupils, discomfort that feels like tightness, discomfort that occurs at rest, does not easily go away when you take medicine, downward palpebral slant to eyes, errors in grammar, punctuation, excessive sweating, excessive thirst, eye pain, eye strain, eyes move quickly from side to side, failure to gain weight, fainting/drowsiness, fast or irregular heartbeat, fatigue, fever-- usually low-grade, flushed face, foamy appearance of urine, hallucinations, headache, headache while reading, hearing loss, heart enlargement, heart murmur, hoarseness, hormone (endocrine gland) problems, swollen neck, burning eyes, sore throat, congested sinuses, stuffy nose, chest pain, sneezing, mucus in nose, throat, sore muscles, red eyes, tired, scratchy throat, pressure in sinuses, bloodshot eyes, nasal congestion, phlegm in throat, inflamed lymph nodes, watery eyes, irritated eyes, stuffy sinuses, scratchy throat, irritated throat, high temperature, achy, aching, pressure in sinuses, sinus tightness, pressure in face, cough up phlegm, congestion, irritated eyes, throat mucus, impaired growth in children, inability to walk in a straight line, increased need to urinate, increased risk of fracture due to decreased bone density, joint pain, joint swelling, kidney stones, leakage of liquid or sudden episodes of watery diarrhea in someone who has chronic constipation, loss of appetite, malaise, muscle contractions, muscle weakness, muscle weakness in the arms, nausea, vomiting, nephrocalcinosis, noisy breathing, osteomalacia, pain in the abdomen, pain or discomfort in both breasts that may come, go with your period, pain or discomfort under the arms, pale color of the arm or leg (pallor), pale skin due to anemia (pallor), poor feeding, poor spelling, problem speaking, problems with gross motor coordination, rapid heart rate, rapid respiratory rate, rectal bleeding, rectal discharge or pain, rectal pain while having a bowel movement (tenesmus), recurrent infections, red eyes, repeated pneumonias, rounded fingernails, toenails (clubbing), short height, skeletal (limb) abnormalities, skin ulcers, sleep apnea, small, small ears, straining when trying to pass stools, stupor, sudden groin or thigh pain, sudden stroke-like symptoms such as trouble speaking, swelling, swollen glands, unintentional weight loss, unusual skin color (pigmentation), vomiting, weakness of an arm or leg, wheezing, facial pressure, loss of smell, gunk in nose, throat, continuous sneezing, drooping on one side of the face, stuffy nose, aching, weight gain, chest_pain, burning, muscle_pain, sinus_pressure, swelled_lymph_nodes, throat_irritation, watery eyes"
187,Common Cold In Babies,"congested or runny nose, nasal discharge, fever, sneezing, coughing, decreased appetite, irritability, difficulty sleeping, trouble nursing or taking a bottle"
188,Common Variable Immunodeficiency,"ear infections, gastrointestinal infections, sinusitis, repeated infections, pneumonia"
189,Common Warts,"small, clotted blood vessels, fleshy, grainy bumps, rough to the touch, black pinpoints"
190,Complicated Grief,"deep sadness, guilt, self-blame, feeling life isn't worth living, intense sorrow, pain, rumination, longing, pining, numbness, detachment, bitterness, feeling life holds no meaning, lack of trust, inability to enjoy life, trouble carrying out normal routines, isolate from others, withdraw from social activities, depression"
191,Concussion,"loss of memory (amnesia), confusion, headache, ringing in the ears, nausea, vomiting, fatigue, drowsiness, blurry vision, feeling as if in a fog, dizziness, seeing stars, temporary loss of consciousness, slurred speech, delayed response to questions, dazed appearance, forgetfulness, concentration complaints, memory complaints, irritability, personality changes, sensitivity to light, sensitivity to noise, sleep disturbances, psychological adjustment problems, depression, disorders of taste, disorders of smell, listlessness, tiring easily, crankiness, loss of balance, unsteady walking, excessive crying, change in eating patterns, change in sleeping patterns, lack of interest in favorite toys, seizures"
192,Congenital Adrenal Hyperplasia,"partially closed labia resembling a scrotum, urinary opening, vagina may be only one opening, problems during physical stress, atypical genitalia appearance, problems getting pregnant, masculine characteristics such as facial hair, excessive body hair, deepening voice, altered growth, short height, early puberty, severe acne, enlarged clitoris, irregular menstrual periods"
193,Congenital Diaphragmatic Hernia,"trouble breathing, high blood pressure, problems with development of the heart, damage to the intestines, damage to the stomach"
194,Congenital Heart Defects Children,"pale gray or blue lips, ankles or feet, belly or areas around the eyes, shortness of breath during feedings, poor weight gain, easily becoming short of breath during exercise or activity, easily tiring during exercise or activity, fainting during exercise or activity, swelling in the hands, rapid breathing, swelling in the legs"
195,Constipation,"passing fewer than three stools a week, having lumpy or hard stools, straining to have bowel movements, feeling as though there's a blockage in your rectum that prevents bowel movements, feeling as though you can't completely empty the stool from your rectum, needing help to empty your rectum"
196,Constipation In Children,"less than three bowel movements a week, hard bowel movements, pain while having a bowel movement, stomach pain, traces of liquid or pasty stool in underwear, blood on surface of hard stool, crossing legs, making faces when attempting to hold stool, twisting body"
197,Contact Dermatitis,"itchy rash, leathery patches that are darker than usual (hyperpigmented), burning or tenderness, cracked, scaly skin, oozing, crusting, swelling, blisters, rash, bumps"
198,Conversion Disorder,"weakness, paralysis, abnormal movement, double vision, blindness, hearing problems, deafness, cognitive difficulties, memory problems, concentration problems, inability to speak, slurred speech, vision problems, tremors, difficulty walking, loss of balance, difficulty swallowing, lump in the throat, seizures, shaking, loss of consciousness, unresponsiveness, numbness, loss of touch sensation, speech problems"
199,Copd,"wheezing, chest tightness, chronic cough, shortness of breath, frequent respiratory infections, lack of energy, unintended weight loss, swelling in ankles"
200,Corticobasal Degeneration,"difficulty moving on one or both sides of the body, loss of ability to walk, hand forming a clenched fist, muscle jerks, difficulty swallowing, abnormal eye movements, trouble with thinking, language skills, speech problems, slow, halting speech, poor coordination, trouble with balance, stiffness, abnormal postures of the hands or feet"
201,Crohns Disease,"diarrhea, fever, fatigue, abdominal pain, cramping, blood in your stool, mouth sores, reduced appetite, weight loss, pain near anus, drainage near anus, eyes inflammation, joints inflammation, kidney stones, delayed growth, delayed sexual development, skin inflammation"
202,Croup,"loud barking cough, fever, hoarse voice, noisy or labored breathing"
203,Crps Complex Regional Pain Syndrome,"burning or throbbing pain, sensitivity to touch or cold, swelling, changes in skin temperature, changes in skin color, hypersensitivity, redness, muscle spasms, tightening, pale skin, skin, nail changes, thin or shiny skin, changes in hair, nail growth, joint stiffness, tremors, weakness (atrophy), decreased ability to move, pain, tenderness"
204,Cryoglobulinemia,"skin lesions, purplish skin lesions on legs, numbness, leg ulcers, joint pain, peripheral neuropathy"
205,Cushing Syndrome,"weight gain, fatty tissue deposits, stretch marks, anxiety, irritability, loss of emotional control, cognitive difficulties, headache, infections, skin darkening, bone loss, thinning skin, fragile skin, easy bruising, slow healing of cuts, impaired growth, acne, thicker body hair, more visible facial hair, hirsutism, irregular menstrual periods, absent menstrual periods, decreased sex drive, decreased fertility, erectile dysfunction, fatigue, muscle weakness, depression, fractures"
206,Cutaneous T Cell Lymphoma,"itchy skin, lighter skin patches, lumps, enlarged lymph nodes, hair loss, thickened skin, rash-like skin redness"
207,Cyclic Vomiting Syndrome,"vomiting, nausea, sweating, abdominal pain, diarrhea, dizziness, sensitivity to light, headache, retching, gagging"
208,Cystic Fibrosis,"rectal prolapse, greasy stools, poor weight gain, poor growth, intestinal blockage, infertility, recurring pneumonia, persistent cough, thick mucus, sputum, wheezing, exercise intolerance, repeated lung infections, inflamed nasal passages, stuffy nose, recurrent sinusitis, meconium ileus, chronic constipation, severe constipation, inflamed pancreas, pancreatitis, frequent straining while trying to pass stool, foul-smelling"
209,Cystitis,"accidental daytime wetting, persistent urge to urinate, pain when urinating, burning feeling when urinating, passing frequent small amounts of urine, blood in the urine (hematuria), passing cloudy urine, passing strong-smelling urine, pelvic discomfort, feeling of pressure in the area below your belly button (abdomen), low-grade fever"
210,Dcis,"breast lump, bloody nipple discharge"
211,De Quervain Tenosynovitis,"pain near the base of the thumb, swelling near the base of the thumb, difficulty moving the thumb, wrist when doing something that involves grasping or pinching, sticking sensation in the thumb, stop-and-go sensation in the thumb, pain may spread farther into the thumb, pain may spread farther into the forearm"
212,Deep Vein Thrombosis,"leg swelling, leg pain, cramping, soreness, change in skin color on the leg, feeling of warmth on the affected leg"
213,Dehydration,"sunken cheeks, listlessness, irritability, extreme thirst, less frequent urination, dark-colored urine, fatigue, dizziness, confusion, diarrhea, disoriented, much sleepier, less active, can't keep down fluids, bloody stool, black stool, dry mouth, dry tongue, no tears when crying, no wet diapers, sunken eyes"
214,Delayed Ejaculation,"anejaculation, difficulty reaching orgasm, fatigue, physical irritation, distress, frustration"
215,Dementia,"memory loss, difficulty reasoning or problem-solving, difficulty handling complex tasks, difficulty with planning, organizing, difficulty with coordination, motor functions, confusion, disorientation, personality changes, depression, anxiety, inappropriate behavior, paranoia, agitation, hallucinations, difficulty communicating or finding words, difficulty with visual, spatial abilities"
216,Dengue,"""slapping"" gait, abdominal pain, tenderness in the lower abdomen, abnormal urine color, acting somewhat confused, altered level of consciousness, back pain, being drowsy, black, blood in the stool, blood in the urine, bluish color to the lips, face (cyanosis), bone pain or tenderness, can't tolerate being alone, change in bowel habits, changes in muscle tone, changes in skin temperature, chest tightness or congestion, clay-colored stools, cold feet or legs, concerns about things that are not true (delusions), confusion, constant urge to have a bowel movement, constipation, continuous feeling of a full bladder, cough, decreased sensation, decreased urine output, dehydration, difficulty breathing, difficulty swallowing -- choking easily, displays of inappropriate anger, eats alone (in secret), eats even though not hungry, eats food very fast each time, eats large amounts of food in a short period, excess involvement in activities, excessive sweating, failure to thrive, fainting/drowsiness, faster growth of nails, hair, fatigue(feeling tired), feeling like you have ""lost time"", feeling weak all over, muscle aches, feelings of emptiness, boredom, feels guilty, fever-- usually low-grade, foot that drops (unable to hold the foot up), having an unusual temper or agitation, headache, headache behind the eyes (typically during fever), i feel like vomiting all the time, i have a fever, chills, i have a fever, my back hurts, rashes, i have a high fever, a headache, body aches, i feel cold, i have a high fever, a severe headache, i have a pain behind my eyes, i have a high fever, chills every night, i don't feel like eating anything, my back, i have a rash all over my body, it's really itchy, vomiting, my joints hurt, i have a rash all over my body that is really itchy, i also have a fever, i have a rash all over my body, red, swollen, i have a severe headache that feels like pressure in my head, small red spots on my back, i have a skin rash that is red, swollen, i have a severe fever, body pain, i have been experiencing a severe fever for the past 3 days, i feel very tired, exhausted, i have been experiencing a severe headache for the past few days, tired, fatigued, i have been experiencing back pain for a few days now, i have been experiencing muscle pain, headache, constant ache, small red spots developing on my face, i have been experiencing muscle pain that makes it difficult for me to move around, i have lost my apetite, legs, back pain a lot, feeling very weak, tired, i have been experiencing severe joint pain, i am unable to move, lost my appetite, i have been experiencing severe joint pain, headaches for the past few days, mild fever, chills, i have been feeling chills, shivering, i have been feeling nauseous, i have been feeling nauseous, have a constant urge to vomit, i have been feeling really cold, i have been feeling really sick, no appetite, developed rashes on my arms, face, back of my eyes hurt a lot, i have been feeling sick to my stomach, have been throwing up, red spots on my arms, i have been feeling very sick for the past few days, i have been having a really bad headache that is behind my eyes, feel really cold at night, i have been having severe joint pain for a few days, medication for the fever, i have been having severe muscle pain for the past few days, feels like a constant ache, red spots all over my body, the itching is really bad, i have been vomiting frequently, back pain all the time, i have developed rashes all over my body that are itchy, feel very tired all day, i have mild fever, get chills, i have rashes on my skin, i have red spots on my body that are itchy, inflamed, extreme body pain, i've been feeling really cold, shivery, red spots on my back, neck, i've been feeling really tired, weak, i've been feeling sick, feel like i'm going to throw up, sharp pain behind my eyes, i've been having a lot of joint pain, i've been shivering, shivering, i feel cold, red patches on my neck, i've been vomiting for a few days now, stomach pains, dizziness, i've been vomiting for the past few days, stomach cramps, inability to pass urine, inability to urinate except in certain positions, increased need to urinate, intense fear of being abandoned, interruption of the urine stream, is not able to control overeating, itching, joint pain, keeps eating even when full (gorging) or until uncomfortably full, lack of self-control, reckless behavior, leaking urine, leg cramps, lethargy, light sensitivity, lightheadedness, little need for sleep, loss of ability to exercise, loss of muscle mass because the nerves aren't stimulating the muscles, memory loss (amnesia) of events before the injury or right after, narrow stools, nasal congestion, nasal flaring, nausea, vomiting, nosebleeds, pain, pain during urination (dysuria), pain in the abdomen, pain that is much higher than expected with the injury, painful urination, paleness, poor judgment, poor temper control, rapid heart rate, rapid speech, rashes, runny nose, scratchy throat, seeing flashing lights, self-injury, severe burning, severe pain that doesn't go away after taking pain medicine or raising the affected area, sharp chest or shoulder pain, shock, shortness of breath, signs of uti (such as fever, skin pain, skin that slowly becomes blotchy, sleep abnormalities, slowed growth, sneezing, stool abnormalities, straining to urinate, stupor (lack of alertness), symptoms of chronic liver disease, toes drag while walking, unconsciousness, unintentional weight loss, urinary incontinence, urinary tract infection, urination changes, very irritable mood, vomiting blood, waking up at night to urinate (nocturia), walking difficulty, weakness of the ankles or feet, wheezing, yellowing of skin, whites of the eyes (jaundice), aching pain that worsens with the slightest touch or breeze, i can't seem to get enough sleep, i feel really weak, nauseous, mild headache, i feel uneasy, pain in my back, muscles, abnormally foul-smelling stools, false beliefs about self or abilities, hard to walk, my whole body is aching, weakness of the affected area, feeling unable to concentrate, frothy stools, general swelling, hard to wake up, including fatty stools that appear pale in color, legs pain a lot, strange pain behind my eyes, numbness, or tingling in the top of the foot or the outer part of the upper or lower leg, or urination that stops completely, pain when urinating, pain_behind_the_eyes, pale, racing thoughts, red_spots_over_body, skin_rash, such as little or no urine, talking a lot, tarry stools, tingling, vomiting, diarrhea, discomfort in the penis, disgusted, drooling, easily distracted, especially muscle spasms, uncontrolled movements, even though it's warm outside, excessive urination at night, like my arms, legs, loss_of_appetite, made worse by a deep breath or a cough, malaise, muscle_pain, switch between warm or cold"
217,Dengue Fever,"severe stomach pain, persistent vomiting, bleeding from your gums or nose, blood in your urine, bone or joint pain, nausea, vomiting, pain behind the eyes, swollen glands, rash, headache, muscle, difficult or rapid breathing, fatigue, irritability or restlessness, bleeding under the skin, high fever, internal bleeding, organ failure"
218,Depersonalization Derealization Disorder,"alienation from surroundings, unfamiliar with surroundings, feeling like a robot, not in control of speech, not in control of movements, body feels distorted, blurry surroundings, colorless surroundings, enlarged surroundings, shrunken surroundings, distorted legs, distorted arms, living in a movie, living in a dream, emotionally disconnected from people, heightened awareness of surroundings, clarity of surroundings, distortions in perception of time, head wrapped in cotton, emotional numbness, physical numbness, sense of detachment, worry about going crazy, outside observer of thoughts, outside observer of body, distorted distance, distorted shape of objects, artificial surroundings, two-dimensional surroundings"
219,Depression,"aches, pains, agitation or restlessness, slowed thinking, avoidance of social interaction, anger, clinginess, concentrating, eating or sleeping too much, emptiness or hopelessness, angry outbursts, loss of interest or pleasure in most or all normal activities, feeling misunderstood, extremely sensitive, feeling negative, worthless, fixating on past failures or self-blame, sleep disturbances, insomnia, tiredness, lack of energy, irritability, frustration, loss of appetite, making decisions, remembering things, frequent or recurrent thoughts of death, feelings of sadness, being underweight, poor performance, poor attendance at school, suicidal thinking, suicidal feelings, refusing to go to school, self-harm, sleep problems, loss of interest in sex, reduced appetite, weight loss, increased cravings for food, weight gain, anxiety, feeling miserable, feeling unhappy, memory difficulties, personality changes, physical aches, pain, fatigue, suicidal thoughts, suicide attempts, unexplained physical problems, tearfulness, using recreational drugs or alcohol, worry"
220,Dermatographia,"raised, inflamed lines, welts, swelling, itching"
221,Dermatomyositis,"skin changes, violet-colored or dusky red rash, muscle weakness, itchy, painful"
222,Deviated Septum,"nosebleeds, facial pain, noisy breathing during sleep, nasal obstruction, preference for sleeping on a particular side, dry nasal septum"
223,Diabetes,"weakness, fatigue, decreased sense of smell or taste, rapid heartbeat, passing out, rashes, skin irritations, chronic dry cough, palpitations, slow healing infections, sore throat, tremors, muscle twitching, thirst, frequent urination, trouble concentrating, emotional changes, feeling in a fog, blurry vision, dizziness, lightheadedness, breathing problems, mood swings, hazy mind, foggy mind, slow healing of wounds, slow healing of cuts, tingling sensation, numbness, sweating, feeling hot easily, yeast infections, intense urges to urinate, confusion, cloudy mind, shaking, trembling, loss of sense of taste, loss of sense of smell, dry mouth, dry throat, hunger, weight loss, trouble healing from wound, loss of sight, racing heart, increased appetite, urinary tract infections, perspiration, flushed skin, ketones in urine, irritability, sores"
224,Diabetes ,"abnormal feeling of movement, backflow of food, blackheads, bleeding gums, blood in the stool, bloody sputum, body odor, bowed legs, burns of the food pipe, carpal tunnel syndrome, chest pain, chest tightness or congestion, chills, shaking, clubbing of fingers, cold arm or leg, confusion, cough, crowded or crooked teeth, crusting of skin bumps, cysts, decreased muscle tone in infants, decreased or no pulse in an arm or leg, decreased peripheral vision, decreased urine output, dehydration, difficulty breathing, difficulty swallowing liquids, solids, difficulty understanding speech, distinct facial features, distorted, early closure of sutures, easy bruising, bleeding, enlarged tongue, excessive height, excessive sweating, failure to gain weight, fainting/drowsiness, fast or irregular heartbeat, fatigue, feeling dizzy or lightheaded, fever, frequent ear infections, frequent middle ear infections, fusion or webbing of fingers, growth problems, hard stools, head appears large, headache, hearing loss, hearing problems, heart enlargement, heart failure, heartburn, hoarseness, holes in the skin, intellectual disability, irregular heart beat, irritability, jaw pain, joint pain, joint stiffness, joint swelling, kidney failure, lack of movement in the arm or leg, large bones of the face, large feet, large forehead, large glands in the skin, large soft spot on baby's skull, limited range of motion of the elbows, loss of appetite, loss of balance, loss of vision, low blood pressure, low blood sugar, low platelet count, low white cell count, mild to moderate short height, more difficulty using longer words, nail abnormalities, narrow chest, nausea, vomiting, nosebleeds, numbness, tingling of hands or feet, numbness in the face or one ear, pain in the abdomen, pain in the face or one ear, pale color of the arm or leg, paleness, palpitations, papules, passing worms in stool, prominent or bulging eyes, pustules, rapid heart rate, rapid respiratory rate, rash, rashes, redness, warmth of the skin around a joint, redness around the skin eruptions, reduced ability to move the joint, respiratory infections, ringing in the ear, scarring of the skin, severe pain in the throat, severe pain or burning in the nose, severe under-development of the midface, shock, short fingers, short stature, shortness of breath, skeletal abnormalities, sleep apnea, sleepiness, slowed growth, small lower jaw, spine curvatures, struggling to pronounce the right word, the body doesn't respond to certain hormones, throat swelling, too quick heart rate, too slow heart rate, unintentional weight loss, unusual, excessive sweating, unusually large head, very short trunk, vomiting blood, weakness of an arm or leg, weakness of the face, webbing or fusion of the toes, wheezing, worms leaving the body through the nose or mouth, blurred, distorted vision, diarrhea, excessive hunger, gaps between the teeth, increased appetite, irregular sugar level, large hands, large jaw, tongue, obesity, polyuria, restlessness, severe infections, sluggish movement, small pinpoint red marks on the skin, thickening of the skin, weakness, weight loss"
225,Diabetic Coma,"increased thirst, frequent urination, blurred vision, tiredness or weakness, headache, nausea, vomiting, shortness of breath, stomach pain, fruity breath odor, a very dry mouth, shakiness, anxiety, drowsiness, sweating, hunger, a feeling of tingling on your skin, dizziness or lightheadedness, difficulty speaking, confusion, loss of consciousness"
226,Diabetic Hypoglycemia,"pallor, shakiness, dizziness or lightheadedness, sweating, hunger or nausea, irregular or fast heartbeat, difficulty concentrating, fatigue, irritability or anxiety, headache, tingling or numbness of the lips, confusion, damp sheets or nightclothes due to perspiration, nightmares, tiredness, inability to complete routine tasks, loss of coordination, difficulty speaking or slurred speech, blurry or tunnel vision, inability to eat or drink, muscle weakness, drowsiness, convulsions or seizures, unconsciousness, death, unusual behavior"
227,Diabetic Ketoacidosis,"being very thirsty, urinating often, feeling a need to throw up, throwing up, having stomach pain, being weak, being tired, being short of breath, having fruity-scented breath, being confused"
228,Diabetic Nephropathy,"increased need to urinate, confusion, difficulty concentrating, shortness of breath, loss of appetite, nausea, vomiting, persistent itching, fatigue, protein in the urine, swelling of feet"
229,Diabetic Retinopathy,"spots or dark strings floating in your vision (floaters), blurred vision, fluctuating vision, dark or empty areas in your vision, vision loss, blurry vision"
230,Diaper Rash,"inflamed skin, fussiness, crying, tender skin, sores, discomfort, itchy"
231,Diarrhea,"abdominal cramps or pain, bloating, nausea, vomiting, fever, blood in the stool, mucus in the stool, urgent need to have a bowel movement"
232,Digeorge Syndrome,"heart murmur, bluish skin, cyanosis, frequent infections, cleft palate, failure to gain weight, gastrointestinal problems, breathing problems, poor muscle tone, delayed development, low-set ears, delayed speech development, nasal-sounding speech, learning delays, learning disabilities, behavior problems, underdeveloped chin, delays in rolling over, wide-set eyes, narrow groove in the upper lip, delayed growth, difficulty feeding"
