,prognosis,symptoms,diagnosis
5019,,"A ""popping"" sound at the time of injury,Obvious knee swelling within 6 hours of injury,Pain, especially when you try to put weight on the injured leg,Difficulty in continuing with your sport,Feeling of instability",Peptic Ulcer Disease
5020,,"Pain in the abdomen,Nausea and vomiting,Shock,Cough,Shortness of breath,Headache,Fever-- usually low-grade,diarrhea,Malaise(general discomfortness,ill feeling or uneasiness),An itchy sore develops that is similar to an insect bite,The sore is usually painless,A scab often forms, and then dries and falls off within 2 weeks,chest pain",Peptic Ulcer Disease
5021,,"Pale skin,Nausea and vomiting,Cough,Fatigue(Feeling Tired),Shortness of breath,weakness,Loss of appetite,Blood in the urine,Coughing up blood,Burning sensation when urinating,Swelling (edema) in any area of the body, especially in the legs",AIDS
5022,,"Pain in the abdomen,Fainting/Drowsiness,Low blood pressure,Coma (lack of responsiveness),Kidney failure,Difficulty breathing,Loss of vision,Severe pain in the throat,Severe pain or burning in the nose, eyes, ears, lips, or tongue,Blood in the stool,Burns of the food pipe (esophagus),Vomiting blood,Throat swelling,Confusion,Headache,weakness,Having an unusual temper or agitation,Vomiting,Collapse of heart beat,Methemoglobinemia (very dark blood from abnormal red blood cells),Too much or too little acid in the blood, which leads to damage in all of the body organs,Asphyxia,Chemical pneumonitis,viral infection,Hemorrhagic pulmonary edema,Respiratory distress or failure,Pneumothorax,Pleural effusion,Empyema,Incoordination,Somnolence,Blurred vision,Brain damage from low oxygen level,Burns in skin,Irritation in skin,Holes (necrosis) in the skin or tissues underneath",AIDS
5023,,"Pale skin,Shock,Low blood pressure,Stupor (lack of alertness),Blood in the stool,Vomiting blood,Blood in the urine,Nosebleeds,Bruising and bleeding under the skin",AIDS
5024,,"Fainting/Drowsiness,Slow and labored breathing,Coma (lack of responsiveness),Convulsions (seizures),Constipation,Hallucinations,Palpitations,Vomiting,Apathy (loss of desire to do anything),Slowdown or stoppage of the bowels,Dry mucous membranes in the mouth,Eye changes in pupil size,Eyes move quickly from side to side,Flushed skin,Restlessness,Urination difficulty",AIDS
5025,,"Fainting/Drowsiness,Nausea and vomiting,Slow and labored breathing,Low blood pressure,Coma (lack of responsiveness),Convulsions (seizures),Stupor (lack of alertness),Decreased urine output,Fatigue(Feeling Tired),Headache,weakness,Rapid respiratory rate,Blood in the urine,Fast or irregular heartbeat,Slurred speech or difficulty swallowing,Visual impairment or blindness,Unconsciousness,Blurred vision,Leg cramps,Unsteady walk,Blue lips and fingernails",AIDS
5026,,"act witty and charming,good at flattery and manipulating other people's emotions,Break the law repeatedly,Disregard the safety of self and others,Have problems with substance abuse,Lie, steal, and fight often,Not show guilt or remorse,Often be angry or arrogant",AIDS
5027,,"Fainting/Drowsiness,Slow and labored breathing,Difficulty swallowing liquids and solids,weakness,Numbness and tingling of hands or feet,Blurred vision,Blood pressure changes,Reduced pulse,Transient ischemic attacks (TIA)",AIDS
5028,,"Pale skin,Pain in the abdomen,Fainting/Drowsiness,Nausea and vomiting,Difficulty swallowing liquids and solids,Shortness of breath,Excessive sweating,sharp, stabbing, tearing, or ripping chest pain,Anxiety and a feeling of doom,Stroke symptoms",AIDS
5029,,"Fainting/Drowsiness,Fatigue(Feeling Tired),Shortness of breath,weakness,Swelling of legs,Swelling of feet,Swelling of abdomen,Palpitations,chest pain,Bounding pulse,Waking up short of breath some time after falling asleep,Uneven, rapid, racing, pounding, or fluttering pulse",AIDS
5030,,"Fainting/Drowsiness,Chest discomfort,Palpitations,Coughing up blood,Breathing problems when exercising,Becoming easily tired,Failure to gain weight,Poor feeding",AIDS
5031,,"Rapid respiratory rate,Fast or irregular heartbeat,Slowed growth,Irritability,Failure to gain weight,Heart failure,Respiratory infections",Diabetes 
5032,,"Mild to moderate short height,Hearing loss,Early closure of sutures between bones of the skull, noted by ridging along sutures,Frequent ear infections,Fusion or severe webbing of the 2nd, 3rd, and 4th fingers, often called ""mitten hands"",Large or late-closing soft spot on a baby's skull,Possible, slow intellectual development,Prominent or bulging eyes,Severe under-development of the midface,Skeletal (limb) abnormalities,Webbing or fusion of the toes",Diabetes 
5033,,"Rapid heart rate,Fatigue(Feeling Tired),Shortness of breath,weakness,Feeling dizzy or lightheaded,Nosebleeds,Easy bruising and bleeding,Paleness,Low white cell count (leukopenia),Low platelet count (thrombocytopenia),Bleeding gums,Rash, small pinpoint red marks on the skin (petechiae),severe infections",Diabetes 
5034,,"Nausea and vomiting,Fever-- usually low-grade,diarrhea,pain may be worse when you walk, cough, or make sudden movements,Chills and shaking,Hard stools",Diabetes 
5035,,"Distorted, repeated, or left out speech sounds or words, the person has difficulty putting words together in the correct order,Struggling to pronounce the right word,More difficulty using longer words, either all the time, or sometimes,Ability to use short, everyday phrases or sayings (such as ""How are you?"") without a problem,Better writing ability than speaking ability",Diabetes 
5036,,"Fainting/Drowsiness,Shortness of breath,Excessive sweating,Paleness,Palpitations,chest pain,Too slow (bradycardia) heart rate,Too quick (tachycardia) heart rate,Irregular, uneven, possibly with extra or skipped heart beats",Diabetes 
5037,,"Numbness and tingling of hands or feet,Cold arm or leg,Decreased or no pulse in an arm or leg,Lack of movement in the arm or leg,Pale color of the arm or leg (pallor),Weakness of an arm or leg",Diabetes 
5038,,"Joint pain,Joint swelling,Reduced ability to move the joint,Redness and warmth of the skin around a joint,Joint stiffness",Diabetes 
5039,,"Cough,Shortness of breath that gets worse with activity,Chest tightness or congestion,chest pain,Clubbing of fingers,Nail abnormalities",Diabetes 
5040,,"Pain in the abdomen,Shortness of breath,Fever-- usually low-grade,Wheezing,Rashes,Bloody sputum,Passing worms in stool,coughing up worms,Worms leaving the body through the nose or mouth",Diabetes 
5041,,"Cough,Unintentional weight loss,Decreased urine output,Shortness of breath,Headache,Fever-- usually low-grade,Wheezing,Bone pain or tenderness,Malaise(general discomfortness,ill feeling or uneasiness),Chills,Vision problems, or functional blindness,Coughing up blood,chest pain,Skin sores (lesions)",Gastroenteritis
5042,,"Difficulty swallowing liquids and solids,Confusion,Fatigue(Feeling Tired),Shortness of breath,Excessive sweating,Fever-- usually low-grade,Wheezing,Breath odor and metallic taste in the mouth,chest pain,Coughing up foul-smelling, greenish or dark phlegm (sputum), or phlegm that contains pus or blood,Seeing food or tube feed material (if being fed artificially) in your sputum",Gastroenteritis
5043,,"Difficulty breathing,Shortness of breath that gets worse with activity,Wheezing,Difficulty sleeping,Chest tightness or congestion,Cough with or without sputum (phlegm) production,Pulling in of the skin between the ribs when breathing (intercostal retractions),Abnormal breathing pattern (breathing out takes more than twice as long as breathing in),Bluish color to the lips and face (cyanosis)",Gastroenteritis
5044,,"Convulsions (seizures),Decreased coordination of movements (ataxia) in late childhood that can include ataxic gait (cerebellar ataxia), jerky gait, unsteadiness,Decreasing mental development, slows or stops after age 10 to 12,Delayed walking,Discoloration of skin areas exposed to sunlight,Discoloration of skin (coffee-with-milk-colored spots),Enlarged blood vessels in skin of nose, ears, and inside of the elbow and knee,Enlarged blood vessels in the whites of the eyes,Jerky or abnormal eye movements (nystagmus) late in the disease,Premature graying of the hair,Sensitivity to radiation, including x-rays,Severe respiratory infections that keep coming back (recurring)",Gastroenteritis
5045,,"Blisters with oozing and crusting,Dry skin all over the body, or areas of bumpy skin on the back of the arms and front of the thighs,Ear discharge or bleeding,Raw areas of the skin from scratching,Skin color changes, such as more or less color than the normal skin tone,Skin redness,Thickened or leather-like areas, which can occur after long-term irritation and scratching",Gastroenteritis
5046,,"Fainting/Drowsiness,Confusion,Fatigue(Feeling Tired),Shortness of breath,weakness,Excessive sweating,Anxiety,Palpitations,chest pain,Loss of ability to exercise",Gastroenteritis
5047,,"Fainting/Drowsiness,Cough,Unintentional weight loss,Joint pain,Fever-- usually low-grade,Shortness of breath that gets worse with activity,general swelling,Malaise(general discomfortness,ill feeling or uneasiness),Palpitations,chest pain,Breathing difficulty when lying flat,Breathing difficulty when asleep,Symptoms due to embolism of tumor material,Bluish skin, especially on the fingers (Raynaud phenomenon),Curvature of nails accompanied by soft tissue swelling (clubbing) of the fingers,Fingers that change color upon pressure or with cold or stress",Gastroenteritis
5048,,"Doesn't pay attention to details or makes careless mistakes,Has problems focusing during tasks or play,Doesn't listen when spoken to directly,Doesn't follow through on instructions and doesn't finish schoolwork or chores,Has problems organizing tasks and activities,Avoids or doesn't like tasks that require mental effort,Often loses things,easily distracted,often forgetful,Fidgets or squirms in seat,Leaves their seat when they should stay in their seat,Runs about or climbs when they shouldn't be doing so,Has problems playing or working quietly,Is often ""on the go,"" acts as if ""driven by a motor"",Talks all the time,Blurts out answers before questions have been completed,Has problems awaiting their turn,Interrupts or intrudes on others",Gastroenteritis
5049,,"Clammy skin,Cough,Confusion,Shortness of breath,Headache,Excessive sweating,fever,Loss of appetite,Fever-- usually low-grade,Chills,chest pain",Gastroenteritis
5050,,"Be very sensitive to sight, hearing, touch, smell, or taste,Be very upset when routines are changed,Repeat body movements over and over,Be unusually attached to things,Can't start or maintain a conversation,Uses gestures instead of words,Develops language slowly or not at all,Doesn't adjust gaze to look at objects that others are looking at,Doesn't refer to self the right way,Doesn't point to show other people objects,Repeats words or memorized passages, such as commercials,Doesn't make friends,Doesn't play interactive games,Is withdrawn from social activity,May not respond to eye contact or smiles, or may avoid eye contact,May treat others as objects,Prefers to be alone rather than with others,Isn't able to show empathy,Doesn't startle at loud noises,Has very high or very low senses of sight, hearing, touch, smell, or taste,May find normal noises painful and hold their hands over their ears,May withdraw from physical contact because it's too stimulating or overwhelming,Rubs surfaces, mouths or licks objects,May have a very high or very low response to pain,Doesn't imitate the actions of others,Prefers solitary or ritualistic play,Shows little pretend or imaginative play,Acts out with intense tantrums,Gets stuck on a single topic or task,Has a short attention span,Has very narrow interests,Is overactive or very passive,Is aggressive toward others or self,Shows a strong need for things being the same,Repeats body movements",Gastroenteritis
5051,,"Nausea and vomiting,Fatigue(Feeling Tired),Joint pain,Loss of appetite,Clay-colored stools,Malaise(general discomfortness,ill feeling or uneasiness),Itching,Abnormal urine color,Abdominal distention",Bronchial Asthma
5052,,"Fainting/Drowsiness,Excessive sweating,Fever-- usually low-grade,Anxiety,High blood pressure,Nasal congestion,Blurred vision,Bladder or bowel problems,Goosebumps, flushed (red) skin above the level of the spinal cord injury,Irregular heartbeat, slow or fast pulse,Muscle spasms,Throbbing headache",Bronchial Asthma
5053,,"Nausea and vomiting,Difficulty swallowing liquids and solids,Shortness of breath that gets worse with activity,Fast or irregular heartbeat,High blood pressure,Swelling of abdomen,diarrhea,Constipation,Feeling full after only a few bites,Problems controlling bowel movements,Blood pressure drop with position that causes dizziness when standing,Difficulty beginning to urinate,Feeling of incomplete bladder emptying,Leaking urine",Bronchial Asthma
5054,,"easily hurt when people criticize or disapprove of them,Hold back too much in intimate relationships,reluctant to become involved with people,Avoid activities or jobs that involve contact with others,Be shy in social situations out of fear of doing something wrong,Make potential difficulties seem worse than they are,Hold the view they are not good socially, not as good as other people, or unappealing",Bronchial Asthma
5055,,"Pain in the abdomen,Nausea and vomiting,Blood in the stool,fever,Loss of appetite,Fever-- usually low-grade,Abdominal cramps",Bronchial Asthma
5056,,"Redness of foreskin or penis,Other rashes on the head of the penis,Foul-smelling discharge,Painful penis and foreskin",Bronchial Asthma
5057,,"Shallow breathing,Coma (lack of responsiveness),Slurred speech or difficulty swallowing,Incoordination,Altered level of consciousness,Difficulty in thinking,Faulty judgment,Sluggishness,Staggering, difficulty with balance",Bronchial Asthma
5058,,"Fever-- usually low-grade,A tender lump on either side of the vaginal opening,Swelling and redness,Pain with sitting or walking,Pain with sexual intercourse,Vaginal discharge,Vaginal pressure",Bronchial Asthma
5059,,"Low blood pressure,Increased need to urinate,weakness,Constipation,Muscle cramps,Rate of weight gain is much lower than that of other children of similar age and sex,Kidney stones",Bronchial Asthma
5060,,"Changes in muscle tone, especially muscle spasms and uncontrolled movements,Movement changes, such as involuntary or slowed movements,Increased muscle tone,tremor in full body,Problems finding words,Uncontrollable, repeated movements, speech, or cries (tics),Walking difficulty",Bronchial Asthma
5061,,"weakness,Decreased peripheral vision,Slurred speech or difficulty swallowing,Slowed growth,Incoordination,Possible, slow intellectual development,Curvature of spine,Poor muscle coordination that usually develops after age 10,Protruding abdomen,Stool abnormalities, including fatty stools that appear pale in color, frothy stools, and abnormally foul-smelling stools",Hypertension 
5062,,"Difficulty walking that gets worse over time; by age 25 to 30, the person is usually unable to walk,Frequent falls,Difficulty getting up from the floor and climbing stairs,Difficulty with running, hopping, and jumping,Loss of muscle mass,Toe walking,Muscle weakness in the arms, neck, and other areas is not as severe as in the lower body",Hypertension 
5063,,"Low blood sugar,Large size for a newborn,Red birth mark on forehead or eyelids (nevus flammeus),Creases in ear lobes,Large tongue (macroglossia),Abdominal wall defect,Enlargement of some organ,Overgrowth of one side of the body (hemihyperplasia/hemihypertrophy),Tumor growth, such as Wilms tumors and hepatoblastomas",Hypertension 
5064,,"Weakness of the face or facial asymmetry,Difficulty closing one eye,Difficulty eating and drinking because food falls out of one side of the mouth,Drooling due to lack of control over the muscles of the face,Drooping of the face, such as the eyelid or corner of the mouth,Problems smiling, grimacing, or making facial expressions,Dry eye, which may lead to eye sores or infections,Dry mouth,Headache if there is an infection such as Lyme disease,Loss of sense of taste,Sound that is louder in one ear (hyperacusis)",Hypertension 
5065,,"Nausea and vomiting,Hearing loss,Loss of balance,Feeling like you are spinning or moving,Feeling like the world is spinning around you,Vision problems, such as a feeling that things are jumping or moving",Hypertension 
5066,,"Rapid heart rate,Stupor (lack of alertness),Shortness of breath that gets worse with activity,Pain in the arms or legs,Swelling of legs,Speech problems, such as a slow or abnormal speech pattern (slurring of words),Numbness and tingling of hands or feet,Vomiting,Walking difficulty,Loss of feeling (sensation) in hands and feet,Loss of muscle function or paralysis of the lower legs,Strange eye movements (nystagmus),Awakening at night short of breath",Hypertension 
5067,,"Nausea and vomiting,Increased need to urinate,Decreased urine output,fever,Back pain,Blood in the urine,Fever-- usually low-grade,Urinary incontinence",Hypertension 
5068,,"Nausea and vomiting,fever,Fever-- usually low-grade,Clay-colored stools,Yellowing of skin and whites of the eyes (jaundice),Itching,Abnormal urine color,Stool abnormalities, including fatty stools that appear pale in color, frothy stools, and abnormally foul-smelling stools,Abdominal pain in the upper right side",Hypertension 
5069,,"Eats large amounts of food in a short period,Is not able to control overeating,Eats food very fast each time,Keeps eating even when full (gorging) or until uncomfortably full,Eats even though not hungry,Eats alone (in secret),Feels guilty, disgusted, ashamed, or depressed after eating so much",Hypertension 
5070,,"easily distracted,Excess involvement in activities,Little need for sleep,Poor judgment,Poor temper control,Lack of self-control and reckless behavior,Very irritable mood, racing thoughts, talking a lot, and false beliefs about self or abilities,Rapid speech,Concerns about things that are not true (delusions)",Hypertension 
5071,,"Pain in the abdomen,Increased need to urinate,Unintentional weight loss,Fatigue(Feeling Tired),Blood in the urine,Bone pain or tenderness,Leaking urine,Painful urination",Migraine
5072,,"Pain in the abdomen,Increased need to urinate,Inability to pass urine,Continuous feeling of a full bladder,Pain during urination (dysuria),Straining to urinate,Urinary tract infection,Waking up at night to urinate (nocturia)",Migraine
5073,,"Pain in the abdomen,Blood in the urine,Inability to pass urine,Urination changes, such as little or no urine, excessive urination at night, or urination that stops completely,Abnormal urine color,Inability to urinate except in certain positions,Interruption of the urine stream,Pain, discomfort in the penis,Signs of UTI (such as fever, pain when urinating, and need to urinate often)",Migraine
5074,,"Blood in the stool,Vomiting blood,Paleness,Lightheadedness,Black, tarry stools,Symptoms of chronic liver disease",Migraine
5075,,"Difficulty breathing,Confusion,Wheezing,Having an unusual temper or agitation,Difficulty swallowing -- choking easily, drooling, or gagging,Unconsciousness,Bluish color to the lips and face (cyanosis),Altered level of consciousness",Migraine
5076,,"Intense fear of being abandoned,Can't tolerate being alone,Feelings of emptiness and boredom,Displays of inappropriate anger,Impulsiveness, such as with substance use or sexual relationships,Self-injury, such as wrist cutting or overdosing",Migraine
5077,,"Nausea and vomiting,Difficulty breathing,Vision problems, or functional blindness,Abdominal cramps,Weakness with paralysis",Migraine
5078,,"Convulsions (seizures),Headache,fever,Fever-- usually low-grade,Chills,Vision problems, or functional blindness,Language problems, such as trouble remembering the names of familiar objects,Vomiting,Changes in mental status, such as confusion, slow response or thinking, unable to focus, or sleepiness,Decreased ability to feel touch or pain (sensation),Loss of muscle function, typically on one side,Weakness in a limb",Migraine
5079,,"Stopped breathing or respiratory arrest,Coma (lack of responsiveness),Headache,weakness,High blood pressure,Reduced pulse,cardiac arrest,Wide (dilated) pupils and no movement in one or both eyes",Migraine
5080,,"Small pits, lumps, or skin tags at either side of the neck or just below the jawbone,Fluid drainage from a pit on the neck,Noisy breathing",Migraine
5081,,"Bone pain or tenderness,Breast lump or lump in the armpit that is hard, has uneven edges, and usually does not hurt,Change in the size, shape, or feel of the breast or nipple,Fluid from the nipple, fluid may be bloody, clear to yellow, green, or look like pus",Cervical Spondylosis
5082,,"Unintentional weight loss,Fatigue(Feeling Tired),Shortness of breath,Fever-- usually low-grade,Wheezing,Breath odor and metallic taste in the mouth,Paleness,Night sweats,Coughing up blood",Cervical Spondylosis
5083,,"Bluish skin(fingernails and lips),Cough,Fatigue(Feeling Tired),Shortness of breath,fever,Rapid respiratory rate,Fever-- usually low-grade,Wheezing,Muscles around the ribs sink in as the child tries to breathe in (called intercostal retractions),Infant's nostrils get wide when breathing",Cervical Spondylosis
5084,,"Nausea and vomiting,Excessive sweating,fever,Fever-- usually low-grade,Chills,Itching,Reddish or purplish color in a circle around spider bite,Large sore (ulcer) in the area of the bite",Cervical Spondylosis
5085,,"Red, thickened skin along the inside edge at the base of the big toe,A bony bump at the first toe joint, with decreased movement in the toe site,Pain over the joint, which pressure from shoes makes worse,Big toe turned outward toward the other toes and may cross over the second toe, as a result, corns and calluses often develop where the first and second toes overlap,Difficulty wearing regular shoes",Cervical Spondylosis
5086,,"Nausea and vomiting,fever,Fever-- usually low-grade,Cramping abdominal pain,Watery diarrhea, sometimes bloody",Cervical Spondylosis
5087,,"Convulsions (seizures),Difficulty swallowing liquids and solids,Irritability,Abnormal posture with flexed arms and straight legs,Feeding problems,Increasing head size,Poor muscle tone, especially of the neck muscles,A lack of head control when baby is pulled from a lying to a sitting position,Poor visual tracking, or blindness,Reflux with vomiting,Severe intellectual disability",Cervical Spondylosis
5088,,"One or more painful, red spots or bumps that develops into an open ulcer,White or yellow center sores on the inner surface of the cheeks and lips, tongue, upper surface of the mouth, and the base of the gums,Small size (most often under one third inch or 1 centimeter across) sores  on the inner surface of the cheeks and lips, tongue, upper surface of the mouth, and the base of the gums,Gray color as healing starts on the sores developed on the inner surface of the cheeks and lips, tongue, upper surface of the mouth, and the base of the gums",Cervical Spondylosis
5089,,"Difficulty breathing,Wheezing,diarrhea,Flushing (face, neck, or upper chest), or widened blood vessels seen on the skin (telangiectasias),Heart problems, such as leaking heart valves, slow heartbeat, low or high blood pressure",Cervical Spondylosis
5090,,"Shortness of breath that gets worse with activity,Urination changes, such as little or no urine, excessive urination at night, or urination that stops completely,Swelling of legs,Swelling of arms,Swelling of hands,Swelling of feet,Swelling of abdomen,Palpitations,Fatigue, reduced exercise ability,Trouble breathing while lying down",Cervical Spondylosis
5091,,"Fainting/Drowsiness,Nausea and vomiting,Stopped breathing or respiratory arrest,Shortness of breath,Unconsciousness,chest pain,Decreased or no pulse in an arm or leg,A racing heart",Paralysis (brain hemorrhage)
5092,,"Clumsiness of the hand when gripping objects,Numbness or tingling or tingling in the thumb and next two or three fingers of one or both hands,Numbness or tingling of the palm of the hand,Pain that extends to the elbow,Pain in the wrist or hand in one or both hands,Problems with fine finger movements (coordination) in one or both hands,Wasting away of the muscle under the thumb (in advanced or long-term cases),Weak grip,Weakness in one or both hands",Paralysis (brain hemorrhage)
5093,,"Being sensitive to glare,Cloudy, fuzzy, foggy, or filmy vision,Difficulty seeing at night or in dim light,Double vision,Loss of color intensity,Problems seeing shapes against a background or the difference between shades of colors,Seeing halos around lights,Frequent changes in eyeglass prescriptions",Paralysis (brain hemorrhage)
5094,,"Blood in the urine,Abnormal urine color,Foul or strong urine odor,Frequent and strong urge to urinate,Pressure, pain, or spasms in your back or the lower part of your belly",Paralysis (brain hemorrhage)
5095,,"Loss of vision,Headache,Drooping eyelids,Bulging eyeball, usually on one side of face,Cannot move the eye in a particular direction",Paralysis (brain hemorrhage)
5096,,"Pain in the abdomen,Unintentional weight loss,Bloating or abdominal gas,Indigestion,Constipation,Decreased appetite (may also be increased or unchanged),Diarrhea, either constant or off and on,Lactose intolerance (common when the person is diagnosed, often goes away after treatment),Stools that are foul smelling, oily, or stick to the toilet when flushed",Paralysis (brain hemorrhage)
5097,,"Nausea and vomiting,Fatigue(Feeling Tired),Fever with chills and sweating,Pain or tenderness in the affected area,Skin redness or inflammation that gets bigger as the infection spreads,Skin sore or rash that starts suddenly, and grows quickly in the first 24 hours,Tight, glossy, stretched appearance of the skin,Warm skin in the area of redness,Muscle aches and joint stiffness from swelling of the tissue over the joint",Paralysis (brain hemorrhage)
5098,,"Dim and blurred blind spot in the center of vision,Distortion of straight lines with the affected eye,Objects appearing smaller or farther away with the affected eye",Paralysis (brain hemorrhage)
5099,,"Fainting/Drowsiness,Convulsions (seizures),Stupor (lack of alertness),Headache,Vomiting,Nervous system changes that may start suddenly, including confusion, delirium, double vision, decreased vision, sensation changes, speech problems, weakness, or paralysis,Episodes of confusion,Headaches that come and go,Loss of mental function (dementia),Weakness or unusual sensations that come and go, and involve smaller areas",Paralysis (brain hemorrhage)
5100,,"Fainting/Drowsiness,Convulsions (seizures),Confusion,Vision problems, or functional blindness,Walking difficulty,Ear noise/buzzing (also called pulsatile tinnitus),Headache in one or more parts of the head, may seem like a migraine,Muscle weakness,Numbness in an area of the body",Paralysis (brain hemorrhage)
5101,,"Incoordination,Poor judgment,Change in attention (inattentiveness),Speech disorder",Jaundice
5102,,"Abnormal vaginal bleeding between periods, after intercourse, or after menopause,Vaginal discharge that does not stop, and may be pale, watery, pink, brown, bloody, or foul-smelling,Periods that become heavier and last longer than usual",Jaundice
5103,,"Heavy menstrual periods,Vaginal bleeding after douching or intercourse,Abnormal vaginal bleeding after menopause or between periods,White or yellow mucus (leukorrhea)",Jaundice
5104,,"Neck stiffness that gets worse over time,Numbness or abnormal sensations in the shoulders or arms,Headaches, especially in the back of the head,Pain on the inside of the shoulder blade and shoulder pain",Jaundice
5105,,"Painful urination,Abnormal vaginal bleeding between periods, after intercourse, or after menopause,Unusual vaginal discharge that does not go away: discharge may be gray, white or yellow in color,Painful sexual intercourse,Pain in the vagina,Pressure or heaviness in the pelvis,Vaginal itching",Jaundice
5106,,"Silver hair, light-colored eyes (albinism),Increased infections in the lungs, skin, and mucous membranes,Jerky eye movements (nystagmus)",Jaundice
5107,,"Pain in the abdomen,Headache,fever,Fever-- usually low-grade,The blisters are most often first seen on the face, middle of the body, or scalp, after a day or two, the blisters become cloudy and then scab, meanwhile, new blisters form in groups, they often appear in the mouth, in the vagina, and on the eyelids",Jaundice
5108,,"Nausea and vomiting,Headache,Joint pain,fever,Rashes,Joint swelling,Muscle pain",Jaundice
5109,,"Burning sensation when urinating,Painful sexual intercourse,Discharge from the penis or rectum,Tenderness or pain in the testicles,Rectal discharge or pain,Symptoms of pelvic inflammatory disease (PID), salpingitis (inflammation of the fallopian tubes), or liver inflammation similar to hepatitis",Jaundice
5110,,"Unintentional weight loss,fever,Loss of appetite,Fever-- usually low-grade,Clay-colored stools,Yellowing of skin and whites of the eyes (jaundice),Chills,Itching,dark urine,Pain in the upper right abdomen that may radiate to the back",Jaundice
5111,,"Nausea and vomiting,fever,Fever-- usually low-grade,Clay-colored stools,Yellowing of skin and whites of the eyes (jaundice),Chills,dark urine,Pain on the upper right side or upper middle part of the abdomen, it may also be felt in the back or below the right shoulder blade, the pain may come and go and feel sharp, cramp-like, or dull",Malaria
5112,,"Nausea and vomiting,fever,Loss of appetite,Fever-- usually low-grade,Clay-colored stools,Yellowing of skin and whites of the eyes (jaundice),Pain in the right upper or middle upper abdomen for at least 30 minutes,the pain may be constant and intense, it can be mild or severe",Malaria
5113,,"Nausea and vomiting,Decreased urine output,Lethargy,Dehydration,Excessive thirst,Abdominal cramps,Dry mouth,Dry skin,Glassy or sunken eyes,Lack of tears,Unusual sleepiness or tiredness",Malaria
5114,,"Nausea and vomiting,Clay-colored stools,Itching,dark urine,Inability to digest certain foods,Pain in the right upper part of the abdomen,Yellow skin or eyes",Malaria
5115,,"Nausea and vomiting,fever,Fever-- usually low-grade,Pain that spreads to your back or below your right shoulder blade,Clay-colored stools,Yellowing of skin and whites of the eyes (jaundice),Sharp, cramping, or dull pain in upper right or upper middle of your belly lasting for 30 minutes",Malaria
5116,,"Difficulty breathing,Incoordination,Problems walking due to weakness or lack of feeling in the feet,Trouble using the arms and hands or legs and feet due to weakness,Sensation changes, such as numbness or decreased sensation, pain, burning, tingling, or other abnormal sensations (usually affects the feet first, then the arms and hands)",Malaria
5117,,"Fainting/Drowsiness,Nausea and vomiting,Unintentional weight loss,Fatigue(Feeling Tired),Headache,Loss of appetite,Breath odor and metallic taste in the mouth,Persistent hiccups,Easy bruising and bleeding,Bone pain or tenderness,Muscle twitching,Itching,Excessive thirst,Numbness and tingling of hands or feet,Dry skin",Malaria
5118,,"Unintentional weight loss,Fatigue(Feeling Tired),Excessive sweating,fever,Loss of appetite,Fever-- usually low-grade,Enlarged lymph nodes, liver, or spleen,Infections that keep coming back (recur), despite treatment",Malaria
5119,,"Excessive blinking,Grimaces of the face,Quick movements of the arms, legs, or other areas,Sounds (grunts, throat clearing, contractions of the abdomen or diaphragm)",Malaria
5120,,"Fatigue(Feeling Tired),weakness,Excessive sweating,fever,Fever-- usually low-grade,Easy bruising and bleeding,Rash, small pinpoint red marks on the skin (petechiae),Pressure under the lower left ribs from a swollen spleen",Malaria
5121,,"Fatigue(Feeling Tired),Shortness of breath that gets worse with activity,Wheezing,Cough, with or without mucus,Frequent respiratory infections,Trouble catching one's breath",Chickenpox
5122,,"Nausea and vomiting,diarrhea,Abdominal pain, more so in the right, upper part of the abdomen; pain is intense, continuous or stabbing,Vomiting,Stools that are foul smelling, oily, or stick to the toilet when flushed,Abdominal pain may last from hours to days; over time, may always be present,Abdominal pain may get worse from eating,Abdominal pain may get worse from drinking alcohol,Chronic weight loss, even when eating habits and amounts are normal",Chickenpox
5123,,"Fainting/Drowsiness,Coma (lack of responsiveness),Convulsions (seizures),Stupor (lack of alertness),Headache,Walking difficulty,Decreased memory,Problem speaking ,Weakness or numbness of arms, legs, face",Chickenpox
5124,,"Fatigue(Feeling Tired),Heavy menstrual periods,Constipation,Difficulty in thinking,Dry skin,Enlarged neck or presence of goiter, which may be the only early symptom,Hair loss,Intolerance to cold,weight gain,Small or shrunken thyroid gland (late in the disease)",Chickenpox
5125,,"Abdominal pain due to pancreatitis (inflammation of the pancreas),Symptoms of nerve damage, such as loss of feeling in the feet or legs, and memory loss,Yellow deposits of fatty material in the skin called xanthomas, these growths may appear on the back, buttocks, soles of the feet, or ankles, knees and elbows",Chickenpox
5126,,"Nausea and vomiting,Stupor (lack of alertness),Unintentional weight loss,Fatigue(Feeling Tired),Loss of appetite,Clay-colored stools,Yellowing of skin and whites of the eyes (jaundice),Small, red spider-like blood vessels on the skin,Fluid buildup in the legs (edema) and in the abdomen (ascites),Redness on the palms of the hands,In men, impotence, shrinking of the testicles, and breast swelling,Easy bruising and abnormal bleeding, most often from swollen veins in the digestive tract,Bleeding from upper or lower gastrointestinal tract",Chickenpox
5127,,"Ability to touch shoulders together in front of body,Delayed closure of fontanelles (""soft spots""),Loose joints,Prominent forehead (frontal bossing),Short forearms,Short fingers,Short stature,Increased risk of getting flat foot, abnormal curvature of spine (scoliosis) and knee deformities,High risk of hearing loss due to infections,Increased risk of fracture due to decreased bone density",Chickenpox
